頁	行	部首	字首	單字	反切	聲母	韻母	備註
1	3	一	一	一	英不	y	a't	
1	3	一	丁	丁	丁丁	t	ing	
1	3	一	丁	汀	丁丁	t	ing	
1	3	一	丁	疔	丁丁	t	ing	
1	3	一	丁	釘	丁丁	t	ing	
1	3	一	丁	叮	丁丁	t	ing	
1	3	一	丁	釘	丁正	t	ing	
1	3	一	丁	訂	丁正	t	ing	
1	3	一	丁	頂	丁丙	t	ing	
1	3	一	丁	打	丁也	t	a[r]	
1	3	一	丂	丂	可卯	h	aou	
1	3	一	丂	攷	可卯	h	aou	
1	3	一	丂	巧	可卯	h	aou	
1	3	一	丂	朽	英九	y	ow	
1	4	一	七	七	七不	ts'	a't	
1	4	一	七	叱	丑息	ch'	ik	
1	4	一	丈	丈	杖上	ch	eong	
1	4	一	丈	仗	杖上	ch	eong	
1	4	一	丈	杖	杖上	ch	eong	
1	4	一	三	三	心監	s	am	
1	4	一	三	三	心鑑	s	am	
1	4	一	上	上	時上	s'	eong	
1	4	一	上	上	時兩	s'	eong	
1	4	一	下	下	下也	h	a[r]	
1	4	一	下	下	下亞	h	a[r]	
1	4	一	不	不	丙不	p	a't	
1	4	一	不	抔	非由	f	ow	
1	5	一	不	杯	丙回	p	ooey	
1	5	一	不	盃	丙回	p	ooey	
1	5	一	丏	丏	明典	m	een	
1	5	一	丏	麪	明見	m	een	
1	5	一	丐	丐	啟代	k'	oy	
1	5	一	丑	丑	丑九	ch'	ow	
1	5	一	丑	扭	拈九	n	ow	
1	5	一	丑	狃	拈九	n	ow	
1	5	一	丑	紐	拈九	n	ow	
1	5	一	丑	鈕	拈九	n	ow	
1	5	一	丑	忸	拈卜	n	uk	
1	5	一	且	且	七者	ts'	ěa	
1	5	一	且	雎	則須	ts	üy	據錯遺備考#1補上
1	5	一	且	苴	則於	ts	ü	
1	5	一	且	疽	則於	ts	ü	
1	5	一	且	咀	則語	ts	ü	
1	6	一	且	沮	則語	ts	ü	
1	6	一	且	姐	則者	ts	ěa	
1	6	一	且	俎	之火	ch	o[r]	
1	6	一	且	阻	之火	ch	o[r]	
1	6	一	且	阻	之個	ch	o[r]	
1	6	一	且	祖	則老	ts	ou	
1	6	一	且	組	則老	ts	ou	
1	6	一	且	粗	七刀	ts'	ou	
1	6	一	且	殂	在刀	ts	ou	
1	6	一	且	徂	在刀	ts	ou	
1	6	一	且	租	則刀	ts	ou	
1	6	一	且	岨	七於	ts'	ü	
1	6	一	丕	丕	篇非	p'	ěy	
1	6	一	丕	邳	篇非	p'	ěy	
1	6	一	丕	坯	篇回	p'	ooey	
1	6	一	丕	歪	烏乖	-	wae	
1	6	一	世	世	審世	s'	y	
1	6	一	世	紲	心別	s	eet	
1	6	一	世	泄	心別	s	eet	
1	7	一	丘	丘	英由	y	ow	
1	7	一	丘	坵	英由	y	ow	
1	7	一	丘	岳	岸學	ng	ok	
1	7	一	丙	丙	丙丙	p	ing	
1	7	一	丙	炳	丙丙	p	ing	
1	7	一	丙	柄	丙正	p	ing	
1	7	一	丙	病	並正	p	ing	
1	7	一	丞	丞	時丁	s'	ing	
1	7	一	丞	拯	丑丙	ch'	ing	
1	7	一	並	並	並正	p	ing	
1	9	丨	丨	丨	見尹	k	wa'n	
1	9	丨	丩	丩	見由	k	ow	
1	9	丨	丩	叫	見照	k	ew	原活字版字形作「呌」
1	9	丨	丩	收	審由	s'	ow	
1	9	丨	丩	糾	見九	k	ow	
1	9	丨	丫	丫	烏加	-	a[r]	
1	9	丨	中	中	之中	ch	ung	
1	9	丨	中	忠	之中	ch	ung	
1	9	丨	中	中	之動	ch	ung	
1	9	丨	中	沖	丑中	ch'	ung	
1	9	丨	中	冲	丑中	ch'	ung	
1	9	丨	中	忡	丑中	ch'	ung	
1	9	丨	中	衷	丑中	ch'	ung	
1	9	丨	中	仲	杖動	ch	ung	
1	10	丨	中	串	丑寸	ch'	ün	
1	10	丨	丰	丰	扶中	f	ung	
1	10	丨	丱	丱	見幻	k	wan	
1	10	丨	丱	聯	耒全	l	ün	
1	10	丨	丱	關	見環	k	wan	
1	12	丶	丶	丶	之語	ch	ü	
1	12	丶	丸	丸	喻全	-	ün	
1	12	丶	円	円	丁飡	t	an	
