# 資料庫版本: 2020-06-14
序號	頁碼	勘誤表頁碼	音節組	字頭	兼容字頭	讀音	聲調	讀音分類	讀音備註	釋義	字條校訂註	義項#	讀音#
001.0.01.0.11	1		á	吖		꜀á	陰平					1/1	1/1
001.0.02.0.11	1		á	鴉		꜀á	陰平					1/1	1/1
001.0.03.0.11	1		á	呀		꜀á	陰平			A colloquial word. An interjection used in answers, senoting surprise or alarm; alas! dreadful		1/2	1/1
001.0.03.0.21	1		á	呀		꜁ngá	陽平			The wrangling of children; to open the mouth wide; [꜁ngá ꜀lán ꜃mai], cochineal		2/2	1/1
001.0.04.0.11	1		á	丫		꜀á	陰平					1/1	1/1
001.0.05.0.11	1		á	啞		꜂á	陰上			The confused noise of children studying; dumb; to keep silent…		1/2	1/1
001.0.05.0.21	1		á	啞		ak꜆	陰入			[ak꜆ ak꜆] the sound of giggling		2/2	1/1
001.0.06.0.11	1		á	瘂		꜂á	陰上					1/1	1/1
001.0.07.0.11	1		á	呀		á꜄	陰去			A colloquial word. A final particle, adding intensity to the meaning; [꜁’m ꜂hò á꜄] not at all good		1/2	1/1
001.0.07.0.21	1		á	呀		á꜅	陽去			Ten, used after a higher number; an answer, a word of reply like Aye! [á꜅ ꜂hò], yes, well; [sz’꜄ á꜅ ꜁ts‘ín], forty cash		2/2	1/1
001.0.08.0.11	2		á	亞|阿		á꜄	陰去					1/1	1/1
001.0.09.0.11	2		á	婭		á꜄	陰去					1/1	1/1
002.0.01.0.11	2		ai	𫫃		꜀ai	陰平					1/1	1/1
002.0.02.0.11	2		ai	矮		꜂ai	陰上					1/1	1/1
002.0.03.0.11	2		ai	縊		ai꜄	陰去					1/1	1/1
002.0.04.0.11	2		ai	翳		ai꜄	陰去					1/1	1/1
002.0.05.0.11	2		ai	𦠉		ai꜄	陰去					1/1	1/1
002.0.06.0.11	2		ai	屭		ai꜄	陰去					1/1	1/1
002.0.07.0.11	2		ai	曀		ai꜄	陰去					1/1	1/1
003.0.01.0.11	2		ái	挨		꜀ái	陰平					1/1	1/1
003.0.02.0.11	3		ái	隘		ái꜄	陰去					1/1	1/1
003.0.03.0.11	3		ái	嗌		ái꜄	陰去					1/1	1/1
004.0.01.0.11	3		ak	握		ak꜆	陰入					1/1	1/1
004.0.02.0.11	3		ak	渥		ak꜆	陰入					1/1	1/1
004.0.03.0.11	3		ak	幄		ak꜆	陰入					1/1	1/1
004.0.04.0.11	3		ak	厄|𢨪		ak꜆	陰入					1/1	1/1
004.0.05.0.11	3		ak	阨		ak꜆	陰入					1/1	1/1
004.0.06.0.11	3		ak	扼		ak꜆	陰入					1/1	1/1
005.0.01.0.11	3		ák	鈪		ák꜆	陰入					1/1	1/1
005.0.02.0.11	3		ák	軛		ák꜆	陰入					1/1	1/1
005.0.03.0.11	3		ák	阨		ák꜆	陰入			A colloquial word… To deceive, to delude, to take in; [꜂kòm yéung꜅ ák꜆ ꜁yan ꜂ké] are you going to cheat him so!		1/1	1/3
005.0.03.0.12	3		ák	阨		ak꜆	陰入	ALSO_PRO				1/1	2/3
005.0.03.0.13	3		ák	阨		ngak꜆	陰入	ALSO_PRO				1/1	3/3
006.0.01.0.11	3		am	唵		꜂am	陰上					1/1	1/1
006.0.02.0.11	3		am	掩		꜂am	陰上					1/1	1/1
007.0.01.0.11	4		ám	菡		꜂ám	陰上					1/1	1/1
008.0.01.0.11	4		án	晏		án꜄	陰去					1/1	1/1
