# 資料庫版本: 2018-10-31
編號	頁	欄	字	紀錄	紀錄標記 (空白:主條目;C:勘誤欄;A:約解讀音)	廣話切	統一反切上字	統一反切下字	反切標記	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	現代粵音:標記	約解	經校訂修正	校訂註
1	6	1	一	1/1		也吉	也	吉		j	at	1	7	jat1		～切，～概，統言之也。萬～，或然也		
2	6	1	丁	1/1		當經	當	經		d	ing	1	1	ding1		人～也，～憂也。當～當～，東聲也		
3	6	1	七	1/1		倉吉	倉	吉		c	at	1	7	cat1		數名		
4	6	1	丈	1/1		莊亮	莊	亮		z	oeng	6	6	zoeng6		十尺也；老者之尊稱也。清～，量地也		
5	6	1	万	1/1		亡犯	亡	犯		m	aan	6	6	maan6		同萬		
6	6	1	三	1/1		桑參	桑	參		s	aam	1	1	saam1		數名		
7	6	1	三	1/1		桑鑒	桑	鑒		s	aam	3	3	saam3		屢也。～復，～思，再～		
8	6	1	上	1/1		爽象	爽	象		s	oeng	6	6	soeng6		在上也。～等，～司，～峰。又通尚		
9	6	1	上	1/1		爽養	爽	養		s	oeng	5	5	soeng5		登也，升也。～樓，～任		
10	6	1	下	1/1		康罵	康	罵		h	aa	6	6	haa6		在下也。～等，～策，～愚，～情，～懷		
11	6	1	下	1/1		康馬	康	馬		h	aa	5	5	haa5		降也。～樓，～山，～任		
12	6	1	不	1/1		邦吉	邦	吉		b	at	1	7	bat1		～然，～可		
13	6	1	丐	1/1		慷再	慷	再		k	oi	3	3	koi3		乞也，請求也		
14	6	1	丑	1/1		創苟	創	苟		c	au	2	2	cau2		夜半一點至三點為～時。又男女～		
15	6	1	且	1/1		創寫	創	寫		c	e	2	2	ce2		又也，抑也，尚也		
16	6	1	世	1/1		爽計	爽	計		s	ai	3	3	sai3		代也，～界也。～交，～誼，舊相與也		
17	6	1	丘	1/1		也鳩	也	鳩		j	au	1	1	jau1		聚也，土阜也，大也，空也		
18	6	1	丕	1/1		旁基	旁	基		p	ei	1	1	pei1		大也		
19	6	1	丙	1/1		邦景	邦	景		b	ing	2	2	bing2		俗言付～，用火焚之也		
20	6	1	丞	1/1		爽瓊	爽	瓊		s	ing	4	4	sing4		佐也		
21	6	2	丟	1/1		當嬌	當	嬌		d	iu	1	1	diu1		失落也，一去不還也		
22	6	2	並	1/1		邦競	邦	競		b	ing	6	6	bing6		相齊也，比也，皆也，連也		
23	6	2	个	1/1		岡過	岡	過		g	o	3	3	go3		一～。通個		
24	6	2	丫	1/1		戇加	戇	加			aa	1	1	aa1		分歧也。～鬟，小婢也		
25	6	2	中	1/1		莊恭	莊	恭		z	ung	1	1	zung1		居～也，～等也。～途，～夜，半也		
26	6	2	中	1/1		莊貢	莊	貢		z	ung	3	3	zung3		合也。估～，射～ 		
27	6	2	丰	1/1		方恭	方	恭		f	ung	1	1	fung1		容色好也		
28	6	2	串	1/1		創絹	創	絹		c	yun	3	3	cyun3		相連貫也。親～，戚誼之狎習者也		
29	6	2	丸	1/1		也權	也	權		j	yun	4	4	jyun4		藥～，彈～		
30	6	2	丹	1/1		當奸	當	奸		d	aan	1	1	daan1		赤色也，煉藥之名也		
31	6	2	主	1/1		莊暑	莊	暑		z	yu	2	2	zyu2		～人，君～，～張，～意		
32	6	2	乂	1/1		昂跪	昂	跪		ng	ai	6	6	ngai6		治也，賢才也		
33	6	2	乃	1/1		囊買	囊	買		n	aai	5	5	naai5		因上起下之詞也。又汝也		
34	6	2	久	1/1		岡走	岡	走		g	au	2	2	gau2		歷時多也		
35	6	2	之	1/1		莊詩	莊	詩		z	i	1	1	zi1		往也，至也，此也，語助詞也，代名詞也		
36	6	2	乍	1/1		莊駕	莊	駕		z	aa	3	3	zaa3		忽也，暫也		
37	6	2	乎	1/1		方胡	方	胡		f	u	4	4	fu4		語助之疑詞，可當麼字、咩字用		
38	6	2	乏	1/1		方辣	方	辣		f	aat	6	9	faat6		無也，貧也，勞倦也。道～，主人謝客也		
39	6	2	乖	1/1		光街	光	街		gw	aai	1	1	gwaai1		～張，性情不合也。～巧，有機變也		
