# 資料庫版本: 20171105
編號	集	頁	部首	部外畫數	字
1	子	1	一	0	一
2	子	1	一	1	丁
3	子	1	一	1	七
4	子	1	一	2	丈
5	子	1	一	2	三
6	子	1	一	2	上
7	子	1	一	2	下
8	子	1	一	2	丌
9	子	1	一	2	万
10	子	1	一	3	不
11	子	2	一	3	丐
12	子	2	一	3	丑
13	子	2	一	4	且
14	子	2	一	4	丕
15	子	2	一	4	世
16	子	2	一	4	丘
17	子	2	一	4	丙
18	子	2	一	5	丞
19	子	2	一	5	丟
20	子	2	一	5	両
21	子	2	一	5	两
22	子	2	一	7	並
23	子	2	丨	0	丨
24	子	2	丨	2	个
25	子	2	丨	2	丫
26	子	2	丨	3	中
27	子	3	丨	3	丰
28	子	3	丨	4	丱
29	子	3	丨	6	串
30	子	3	丶	0	丶
31	子	3	丶	2	丸
32	子	3	丶	3	丹
33	子	3	丶	4	主
34	子	3	丿	0	丿
35	子	3	丿	1	乂
36	子	3	丿	1	乃
37	子	3	丿	2	久
38	子	4	丿	3	之
39	子	4	丿	4	乍
40	子	4	丿	4	乎
41	子	4	丿	4	乏
42	子	4	丿	7	乖
43	子	4	丿	9	乘
44	子	4	乙	0	乙
45	子	4	乙	1	乜
46	子	4	乙	1	九
47	子	4	乙	2	乞
48	子	4	乙	2	也
49	子	4	乙	4	㐌
50	子	4	乙	5	乩
51	子	4	乙	6	乱
52	子	5	乙	7	乳
53	子	5	乙	10	乾
54	子	5	乙	11	亁
55	子	5	乙	12	亂
56	子	5	亅	0	亅
57	子	5	亅	1	了
58	子	5	亅	3	予
59	子	5	亅	7	事
60	子	5	亅	7	㐨
61	子	5	二	0	二
62	子	5	二	1	于
63	子	5	二	1	亍
64	子	5	二	2	云
65	子	5	二	2	互
66	子	5	二	2	五
67	子	5	二	2	井
68	子	6	二	4	亘
69	子	6	二	4	亙
70	子	6	二	5	些
71	子	6	二	5	况
72	子	6	二	6	亞
73	子	6	二	6	亟
74	子	6	亠	0	亠
75	子	6	亠	1	亡
76	子	6	亠	2	亢
77	子	6	亠	4	交
78	子	6	亠	4	亥
79	子	6	亠	4	亦
80	子	6	亠	5	亨
81	子	6	亠	6	享
82	子	6	亠	6	京
83	子	7	亠	7	亭
84	子	7	亠	7	亮
85	子	7	亠	8	亳
86	子	7	亠	11	亶
87	子	7	亠	19	亹
88	子	7	人	0	人
89	子	7	人	2	什
90	子	7	人	2	仁
91	子	7	人	2	仃
92	子	7	人	2	仄
93	子	7	人	2	仆
94	子	7	人	2	仇
95	子	7	人	2	今
96	子	7	人	2	介
97	子	7	人	2	仍
98	子	7	人	2	仂
99	子	7	人	2	仉
100	子	7	人	2	从
101	子	8	人	3	仔
102	子	8	人	3	仕
103	子	8	人	3	他
104	子	8	人	3	仗
105	子	8	人	3	付
106	子	8	人	3	仙
107	子	8	人	3	仝
108	子	8	人	3	仞
109	子	8	人	3	仟
110	子	8	人	3	仡
111	子	8	人	3	代
112	子	8	人	3	令
113	子	8	人	3	以
114	子	8	人	3	仢
115	子	8	人	3	○
116	子	8	人	4	仰
117	子	8	人	4	仲
118	子	9	人	4	仳
119	子	9	人	4	仵
120	子	9	人	4	件
121	子	9	人	4	价
122	子	9	人	4	任
123	子	9	人	4	仿
124	子	9	人	4	企
125	子	9	人	4	伉
126	子	9	人	4	伊
127	子	9	人	4	伋
128	子	9	人	4	伍
129	子	9	人	4	伎
130	子	9	人	4	伏
131	子	9	人	4	伐
132	子	9	人	4	休
133	子	9	人	4	伃
134	子	9	人	4	伈
135	子	9	人	4	份
136	子	9	人	4	伙
137	子	10	人	4	伕
138	子	10	人	4	会
139	子	10	人	5	伯
140	子	10	人	5	估
141	子	10	人	5	伱
142	子	10	人	5	伴
143	子	10	人	5	伶
144	子	10	人	5	伸
145	子	10	人	5	伺
146	子	10	人	5	似
147	子	10	人	5	伽
148	子	10	人	5	伾
149	子	10	人	5	佃
150	子	10	人	5	但
151	子	10	人	5	佇
152	子	10	人	5	佈
153	子	10	人	5	佌
154	子	10	人	5	位
155	子	10	人	5	低
156	子	10	人	5	住
157	子	10	人	5	佐
158	子	10	人	5	佑
159	子	11	人	5	体
160	子	11	人	5	佔
161	子	11	人	5	何
162	子	11	人	5	佢
163	子	11	人	5	佗
164	子	11	人	5	佘
165	子	11	人	5	余
166	子	11	人	5	佚
167	子	11	人	5	佛
168	子	11	人	5	作
169	子	11	人	5	佞
170	子	11	人	5	佟
171	子	11	人	5	佅
172	子	11	人	5	佉
173	子	11	人	5	佋
174	子	11	人	5	你
175	子	11	人	6	佩
176	子	11	人	6	佬
177	子	11	人	6	佯
178	子	11	人	6	佰
179	子	12	人	6	佳
180	子	12	人	6	佶
181	子	12	人	6	佸
182	子	12	人	6	佻
183	子	12	人	6	佼
184	子	12	人	6	佽
185	子	12	人	6	佾
186	子	12	人	6	使
187	子	12	人	6	侀
188	子	12	人	6	侃
189	子	12	人	6	侄
190	子	12	人	6	來
191	子	12	人	6	侈
192	子	12	人	6	例
193	子	12	人	6	侍
194	子	12	人	6	侏
195	子	12	人	6	侐
196	子	12	人	6	侑
197	子	12	人	6	侔
198	子	12	人	6	侗
199	子	12	人	6	侚
200	子	12	人	6	供
201	子	13	人	6	侜
202	子	13	人	6	依
203	子	13	人	6	佴
204	子	13	人	6	佷
205	子	13	人	6	佹
206	子	13	人	6	佺
207	子	13	人	6	侂
208	子	13	人	6	侇
209	子	13	人	6	侎
210	子	13	人	6	侖
211	子	13	人	6	侘
212	子	13	人	6	侉
213	子	13	人	7	侮
214	子	13	人	7	侯
215	子	13	人	7	侵
216	子	13	人	7	侶
217	子	13	人	7	便
218	子	13	人	7	俁
219	子	13	人	7	係
220	子	13	人	7	促
221	子	13	人	7	俄
222	子	13	人	7	俅
223	子	14	人	7	俊
224	子	14	人	7	俎
225	子	14	人	7	俏
226	子	14	人	7	俐
227	子	14	人	7	俑
228	子	14	人	7	俔
229	子	14	人	7	俗
230	子	14	人	7	俘
231	子	14	人	7	俚
232	子	14	人	7	保
233	子	14	人	7	俟
234	子	14	人	7	俠
235	子	14	人	7	信
236	子	14	人	7	侲
237	子	14	人	7	侷
238	子	14	人	7	俌
239	子	14	人	7	侻
240	子	14	人	7	俛
241	子	14	人	7	俜
242	子	14	人	7	俞
243	子	14	人	7	俓
244	子	14	人	8	修
245	子	15	人	8	俯
246	子	15	人	8	俱
247	子	15	人	8	俳
248	子	15	人	8	俴
249	子	15	人	8	俶
250	子	15	人	8	俸
251	子	15	人	8	俾
252	子	15	人	8	倀
253	子	15	人	8	倂
254	子	15	人	8	倅
255	子	15	人	8	倆
256	子	15	人	8	倉
257	子	15	人	8	個
258	子	15	人	8	倌
259	子	15	人	8	倍
260	子	15	人	8	倏
261	子	15	人	8	們
262	子	15	人	8	倒
263	子	15	人	8	倔
264	子	15	人	8	倖
265	子	15	人	8	倘
266	子	15	人	8	候
267	子	16	人	8	倚
268	子	16	人	8	倜
269	子	16	人	8	借
270	子	16	人	8	倡
271	子	16	人	8	倣
272	子	16	人	8	值
273	子	16	人	8	倥
274	子	16	人	8	倦
275	子	16	人	8	倨
276	子	16	人	8	倩
277	子	16	人	8	倪
278	子	16	人	8	倫
279	子	16	人	8	倬
280	子	16	人	8	倭
281	子	16	人	8	倮
282	子	16	人	8	倳
283	子	16	人	8	俵
284	子	16	人	8	俺
285	子	16	人	8	倓
286	子	16	人	8	倕
287	子	16	人	8	𠉪
288	子	16	人	8	倛
289	子	16	人	8	倞
290	子	17	人	8	倢
291	子	17	人	8	倧
292	子	17	人	8	倈
293	子	17	人	8	偹
294	子	17	人	8	倐
295	子	17	人	9	偃
296	子	17	人	9	假
297	子	17	人	9	偈
298	子	17	人	9	偉
299	子	17	人	9	偏
300	子	17	人	9	偕
301	子	17	人	9	做
302	子	17	人	9	停
303	子	17	人	9	健
304	子	17	人	9	偪
305	子	17	人	9	偲
306	子	17	人	9	側
307	子	17	人	9	偵
308	子	17	人	9	偶
309	子	18	人	9	偷
310	子	18	人	9	偊
311	子	18	人	9	偌
312	子	18	人	9	偎
313	子	18	人	9	偓
314	子	18	人	9	偝
315	子	18	人	9	偟
316	子	18	人	9	偠
317	子	18	人	9	偩
318	子	18	人	9	偬
319	子	18	人	9	偭
320	子	18	人	9	偯
321	子	18	人	9	偁
322	子	18	人	10	傀
323	子	18	人	10	傅
324	子	18	人	10	傍
325	子	18	人	10	傑
326	子	18	人	10	傖
327	子	18	人	10	傘
328	子	18	人	10	備
329	子	18	人	10	傚
330	子	18	人	10	傃
331	子	18	人	10	傉
332	子	18	人	10	傋
333	子	19	人	10	傒
334	子	19	人	10	傔
335	子	19	人	10	傕
336	子	19	人	10	傜
337	子	19	人	10	傞
338	子	19	人	10	傢
339	子	19	人	10	傁
340	子	19	人	10	傎
341	子	19	人	11	催
342	子	19	人	11	傭
343	子	19	人	11	傲
344	子	19	人	11	傳
345	子	19	人	11	傴
346	子	19	人	11	債
347	子	19	人	11	傷
348	子	19	人	11	傾
349	子	19	人	11	僂
350	子	19	人	11	僅
351	子	19	人	11	僇
352	子	19	人	11	僉
353	子	19	人	11	傺
354	子	19	人	11	傻
355	子	19	人	11	傽
356	子	19	人	11	僁
357	子	20	人	11	僄
358	子	20	人	11	僆
359	子	20	人	11	働
360	子	20	人	11	僊
361	子	20	人	12	像
362	子	20	人	12	僑
363	子	20	人	12	僕
364	子	20	人	12	僖
365	子	20	人	12	僚
366	子	20	人	12	僛
367	子	20	人	12	僞
368	子	20	人	12	僥
369	子	20	人	12	僦
370	子	20	人	12	僧
371	子	20	人	12	僨
372	子	20	人	12	僩
373	子	20	人	12	僬
374	子	20	人	12	僭
375	子	20	人	12	僮
376	子	20	人	12	僎
377	子	20	人	12	僝
378	子	20	人	12	僢
379	子	21	人	12	僣
380	子	21	人	12	僤
381	子	21	人	12	僰
382	子	21	人	12	㒋
383	子	21	人	13	僵
384	子	21	人	13	價
385	子	21	人	13	僻
386	子	21	人	13	僾
387	子	21	人	13	儀
388	子	21	人	13	儂
389	子	21	人	13	億
390	子	21	人	13	儆
391	子	21	人	13	儇
392	子	21	人	13	儈
393	子	21	人	13	儉
394	子	21	人	13	儋
395	子	21	人	13	儌
396	子	21	人	13	僸
397	子	21	人	13	僽
398	子	21	人	13	僿
399	子	21	人	13	儁
400	子	21	人	14	儐
401	子	21	人	14	儒
402	子	22	人	14	儔
403	子	22	人	14	儕
404	子	22	人	14	儗
405	子	22	人	14	儘
406	子	22	人	14	儜
407	子	22	人	14	儛
408	子	22	人	15	償
409	子	22	人	15	優
410	子	22	人	15	儡
411	子	22	人	15	儢
412	子	22	人	15	儤
413	子	22	人	15	儥
414	子	22	人	15	儦
415	子	22	人	16	儲
416	子	22	人	16	㒟
417	子	22	人	17	儳
418	子	22	人	17	儴
419	子	22	人	17	儵
420	子	22	人	19	儷
421	子	22	人	19	儸
422	子	22	人	19	儺
423	子	22	人	20	儻
424	子	22	人	20	儼
425	子	23	儿	0	儿
426	子	23	儿	1	兀
427	子	23	儿	2	允
428	子	23	儿	2	元
429	子	23	儿	2	○
430	子	23	儿	3	兄
431	子	23	儿	3	充
432	子	23	儿	4	兆
433	子	23	儿	4	兇
434	子	23	儿	4	先
435	子	23	儿	4	光
436	子	23	儿	5	克
437	子	24	儿	5	兌
438	子	24	儿	5	免
439	子	24	儿	6	兒
440	子	24	儿	6	兔
441	子	24	儿	6	兕
442	子	24	儿	7	兗
443	子	24	儿	7	兙
444	子	24	儿	8	党
445	子	24	儿	8	兛
446	子	24	儿	9	兜
447	子	24	儿	9	兝
448	子	24	儿	9	兞
449	子	24	儿	11	兡
450	子	24	儿	12	兢
451	子	24	儿	12	兣
452	子	24	入	0	入
453	子	24	入	2	內
454	子	24	入	3	㒰
455	子	25	入	4	全
456	子	25	入	6	兩
457	子	25	入	7	兪
458	子	25	八	0	八
459	子	25	八	2	公
460	子	25	八	2	六
461	子	25	八	2	兮
462	子	25	八	4	共
463	子	25	八	5	兵
464	子	25	八	6	其
465	子	25	八	6	具
466	子	25	八	6	典
467	子	26	八	8	兼
468	子	26	八	14	冀
469	子	26	冂	0	冂
470	子	26	冂	3	冉
471	子	26	冂	3	冊
472	子	26	冂	4	再
473	子	26	冂	5	冏
474	子	26	冂	7	冑
475	子	26	冂	7	冒
476	子	26	冂	8	冓
477	子	26	冂	8	冔
478	子	26	冂	9	冕
479	子	26	冖	0	冖
480	子	26	冖	2	冘
481	子	26	冖	2	冗
482	子	26	冖	6	冞
483	子	26	冖	7	冠
484	子	27	冖	8	冢
485	子	27	冖	8	冤
486	子	27	冖	8	冥
487	子	27	冖	13	冩
488	子	27	冖	14	冪
489	子	27	冖	16	𠖥
490	子	27	冫	0	冫
491	子	27	冫	3	冬
492	子	27	冫	4	冰
493	子	27	冫	4	冲
494	子	27	冫	4	冱
495	子	27	冫	5	冶
496	子	27	冫	5	冷
497	子	27	冫	5	冺
498	子	27	冫	6	冽
499	子	27	冫	7	凂
500	子	28	冫	8	准
501	子	28	冫	8	凊
502	子	28	冫	8	凋
503	子	28	冫	8	凌
504	子	28	冫	8	凍
505	子	28	冫	8	凇
506	子	28	冫	8	凑
507	子	28	冫	8	凉
508	子	28	冫	8	凄
509	子	28	冫	10	凓
510	子	28	冫	10	凔
511	子	28	冫	12	凘
512	子	28	冫	13	凜
513	子	28	冫	13	凙
514	子	28	冫	14	凝
515	子	28	几	0	几
516	子	28	几	1	凡
517	子	28	几	1	凣
518	子	28	几	6	凭
519	子	28	几	9	凰
520	子	28	几	10	凱
521	子	29	几	12	凳
522	子	29	几	12	凴
523	子	29	凵	0	凵
524	子	29	凵	2	凶
525	子	29	凵	3	凸
526	子	29	凵	3	凹
527	子	29	凵	3	出
528	子	29	凵	3	凷
529	子	29	凵	6	函
530	子	29	凵	7	凾
531	子	29	刀	0	刀
532	子	29	刀	0	刁
533	子	29	刀	1	刃
534	子	29	刀	1	刄
535	子	29	刀	2	分
536	子	30	刀	2	切
537	子	30	刀	2	刈
538	子	30	刀	3	刊
539	子	30	刀	3	刌
540	子	30	刀	4	刎
541	子	30	刀	4	刑
542	子	30	刀	4	划
543	子	30	刀	4	刓
544	子	30	刀	4	刖
545	子	30	刀	4	列
