# 資料庫版本: 2022-09-14
卷二粵語音典字號	卷一道漢字典字號	道字典字號	粵語音典頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	韻母組	粵拼讀音	字形	(輔助檢索用異體)	字形標記	字形描述	校訂註
B01A01	A11002	D0101	1	z	i	1	1	i	zi1	之				
B01A02	A14068	D0106	1	z	i	1	1	i	zi1	支				
B01A03	A45065		1	z	i	1	1	i	zi1	卮				
B01A04	A42069		1	z	i	1	1	i	zi1	仔				
B01A05	A30124		1	z	i	1	1	i	zi1	吱				
B01A06	A26063	D0107	1	z	i	1	1	i	zi1	芝				
B01A07	A05081		1	z	i	1	1	i	zi1	𪯠				
B01A08	A45081		1	z	i	1	1	i	zi1	巵				
B01A09	A54035		1	z	i	1	1	i	zi1	孜				
B01A10	A47052	D0108	1	z	i	1	1	i	zi1	肢				
B01A11	A15050	D0103	1	z	i	1	1	i	zi1	枝				
B01A12	A26090		1	z	i	1	1	i	zi1	芰				
B01A13	A40001	D0102	1	z	i	1	1	i	zi1	知				
B01A14	A40031		1	z	i	1	1	i	zi1	秖				
B01A15	A47102		1	z	i	1	1	i	zi1	胝				
B01A16	A09062	D0113	1	z	i	1	1	i	zi1	姿				
B01A17	A09061	D0109	1	z	i	1	1	i	zi1	咨				
B01A18	A15161		1	z	i	1	1	i	zi1	栀				
B01A19	A27038	D0104	1	z	i	1	1	i	zi1	茲	兹|玆			
B01A20	A32030		1	z	i	1	1	i	zi1	蚑				
B01A21	A47158	D0111	1	z	i	1	1	i	zi1	脂				
B01A22	A06054		1	z	i	1	1	i	zi1	玆	兹|茲			
B01A23	A09096		1	z	i	1	1	i	zi1	恣				
B01A24	A46043		1	z	i	1	1	i	zi1	瓻				
B01A25	A16165		1	z	i	1	1	i	zi1	梔				
B01A26	A02214,A02214		1	z	i	1	1	i	zi1	淄	湽			
B01A27	A17006		1	z	i	1	1	i	zi1	胾				
B01A28	A03086		1	z	i	1	1	i	zi1	湽	淄			
B01A29	A33157		1	z	i	1	1	i	zi1	𨀥				
B01A30			1	z	i	1	1	i	zi1	粢				
B01A31	A17106,A18006		1	z	i	1	1	i	zi1	椔				
B01A32	A07001		1	z	i	1	1	i	zi1	訿				
B01A33	A27162		1	z	i	1	1	i	zi1	訾				
B01A34	A27163		1	z	i	1	1	i	zi1	貲				
B01A35	A27147		1	z	i	1	1	i	zi1	菑	葘			
B01A36	A25034		1	z	i	1	1	i	zi1	搘				
B01A37	A17204,A25019		1	z	i	1	1	i	zi1	鄑				
B01A38	A27211		1	z	i	1	1	i	zi1	孶	孳			
B01A39	A18035		1	z	i	1	1	i	zi1	趑				
B01A40	A33089,A33244		1	z	i	1	1	i	zi1	嵫				
B01A41	A09200	D0105	1	z	i	1	1	i	zi1	資				
B01A42	A03027,A03160	D0110	1	z	i	1	1	i	zi1	滋				
B01A43	A07030		1	z	i	1	1	i	zi1	齊				
B01A44	A34098	D0112	1	z	i	1	1	i	zi1	蜘				
B01A45	A55047,A55084		1	z	i	1	1	i	zi1	緇				
B01A46	A18132		1	z	i	1	1	i	zi1	榰				
B01A47	A19086		1	z	i	1	1	i	zi1	鳷				
B01A48	A18206		1	z	i	1	1	i	zi1	賫				
B01A49	A19062	D0116	1	z	i	1	1	i	zi1	輜	輺			
B01A50	A41063		1	z	i	1	1	i	zi1	䝷				
B01A51	A38089		1	z	i	1	1	i	zi1	錙				
B01A52	A34210,A35098	D0114	1	z	i	1	1	i	zi1	螆				
B01A53	A19202		1	z	i	1	1	i	zi1	趦				
B01A54	A07198	D0115	1	z	i	1	1	i	zi1	諮				
B01A55	A19208		1	z	i	1	1	i	zi1	賷				
B01A56	A07227		1	z	i	1	1	i	zi1	齋				
B01A57	A25136		1	z	i	1	1	i	zi1	鼒				
B01A58	A38120,A38181		1	z	i	1	1	i	zi1	鎡				
B01A59	A08065		1	z	i	1	1	i	zi1	齍				
B01A60	A49062		1	z	i	1	1	i	zi1	鯔				
B01A61	A08109		1	z	i	1	1	i	zi1	𪗋				
B01A62	A41219		1	z	i	1	1	i	zi1	鼅				
B01A63	A10155,A29126		1	z	i	1	1	i	zi1	鷀				
B01A64	A29110		1	z	i	1	1	i	zi1	鶿				
B01A65	A08128		1	z	i	1	1	i	zi1	齎				
	A09058		1	z	i	1	1	i	zi1	兹	玆|茲			
	A09162		1	z	i	1	1	i	zi1	孳	孶			
	A19188		1	z	i	1	1	i	zi1	輺	輜			
	A27209		1	z	i	1	1	i	zi1	葘	菑			
	A38147		1	z	i	1	1	i	zi1	鍿				
B01B01	A54003	D0117	1	z	i	2	2	i	zi2	子				
B01B02	A26045	D0118	1	z	i	2	2	i	zi2	止				
B01B03	A30044		1	z	i	2	2	i	zi2	只				
B01B04	A23161,A46190	D0122	1	z	i	2	2	i	zi2	旨				
B01B05	A14172	D0131	1	z	i	2	2	i	zi2	址				
B01B06	A54031		1	z	i	2	2	i	zi2	阯				
B01B07	A52122	D0123	1	z	i	2	2	i	zi2	姊				
B01B08	A47004		1	z	i	2	2	i	zi2	帋				
B01B09	A01080		1	z	i	2	2	i	zi2	泲				
B01B10	A22002		1	z	i	2	2	i	zi2	厎				
B01B11	A01068		1	z	i	2	2	i	zi2	沚				
B01B12	A24012		1	z	i	2	2	i	zi2	扺				
B01B13	A26094	D0124	1	z	i	2	2	i	zi2	芷				
B01B14	A47059		1	z	i	2	2	i	zi2	胏				
B01B15	A02007		1	z	i	2	2	i	zi2	泚				
B01B16	A26121		1	z	i	2	2	i	zi2	呰				
B01B17	A11035	D0121	1	z	i	2	2	i	zi2	祉				
B01B18	A13119,A40042		1	z	i	2	2	i	zi2	耔				
B01B19	A24098	D0126	1	z	i	2	2	i	zi2	指				
B01B20	A02042		1	z	i	2	2	i	zi2	恉				
B01B21	A27021		1	z	i	2	2	i	zi2	茈				
B01B22	A51073	D0125	1	z	i	2	2	i	zi2	咫				
B01B23	A40032		1	z	i	2	2	i	zi2	秭				
B01B24	A31184		1	z	i	2	2	i	zi2	虸				
B01B25	A11061	D0119	1	z	i	2	2	i	zi2	祗				
B01B26	A15152		1	z	i	2	2	i	zi2	枳				
B01B27	A09076		1	z	i	2	2	i	zi2	籽				
B01B28	A22097		1	z	i	2	2	i	zi2	砥				
B01B29	A40066		1	z	i	2	2	i	zi2	笫				
B01B30	A32140	D0120	1	z	i	2	2	i	zi2	趾				
B01B31	A54103	D0132	1	z	i	2	2	i	zi2	紙				
B01B32	A15214		1	z	i	2	2	i	zi2	耆				
B01B33	A27091	D0127	1	z	i	2	2	i	zi2	紫				
