# 資料庫版本: 2021-08-22
道字典字號	道漢字音粵語音典字號	頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	韻母組	粵拼讀音	字頭	(輔助檢索用異體)	釋義	釋義本作「同上」	校訂註
D0101	B01A01	1	z	i	1	1	i	zi1	之		嘅也，助詞		
D0102	B01A13	1	z	i	1	1	i	zi1	知		～曉，識也		
D0103	B01A11	1	z	i	1	1	i	zi1	枝		樹～		
D0104	B01A19	1	z	i	1	1	i	zi1	茲	兹|玆	今也，現下		
D0105	B01A41	1	z	i	1	1	i	zi1	資		～本，～格		
D0106	B01A02	1	z	i	1	1	i	zi1	支		～持，進～		
D0107	B01A06	1	z	i	1	1	i	zi1	芝		草名，～蔴		
D0108	B01A10	1	z	i	1	1	i	zi1	肢		四～，手足也		
D0109	B01A17	1	z	i	1	1	i	zi1	咨		～謀		
D0110	B01A42	1	z	i	1	1	i	zi1	滋		～生，～養，～味		
D0111	B01A21	1	z	i	1	1	i	zi1	脂		～膏，胭～		
D0112	B01A44	1	z	i	1	1	i	zi1	蜘		～蛛		
D0113	B01A16	1	z	i	1	1	i	zi1	姿		～勢，丰～		
D0114	B01A52	1	z	i	1	1	i	zi1	螆		虫～，生～		
D0115	B01A54	1	z	i	1	1	i	zi1	諮		～詢		
D0116	B01A49	1	z	i	1	1	i	zi1	輜	輺	行軍載物的車		
D0117	B01B01	1	z	i	2	2	i	zi2	子		兒～		
D0118	B01B02	1	z	i	2	2	i	zi2	止		停～		
D0119	B01B25	1	z	i	2	2	i	zi2	祗		～係		
D0120	B01B30	1	z	i	2	2	i	zi2	趾		腳～		
D0121	B01B17	1	z	i	2	2	i	zi2	祉		福也		
D0122	B01B04	1	z	i	2	2	i	zi2	旨		宗～，意～		
D0123	B01B07	1	z	i	2	2	i	zi2	姊		～妹		
D0124	B01B13	1	z	i	2	2	i	zi2	芷		白～，藥名		
D0125	B01B22	1	z	i	2	2	i	zi2	咫		～尺，即八尺		
D0126	B01B19	1	z	i	2	2	i	zi2	指		手～，～示		
D0127	B01B33	1	z	i	2	2	i	zi2	紫		～色		
D0128	B01B34	1	z	i	2	2	i	zi2	梓		桑～，木名		
D0129	B01B41	1	z	i	2	2	i	zi2	滓		酒～，渣～		
D0130	B01B37	1	z	i	2	2	i	zi2	黹		針～		
D0131	B01B05	1	z	i	2	2	i	zi2	址		地～		
D0132	B01B31	1	z	i	2	2	i	zi2	紙		字～，～張		
D0133	B01C04	1	z	i	3	3	i	zi3	志		心之所向也		
D0134	B01C02	1	z	i	3	3	i	zi3	至		到也，極也		
D0135	B01C07	1	z	i	3	3	i	zi3	致		使也，到也		
D0136	B01C10	1	z	i	3	3	i	zi3	智		才識，～識		
D0137	B01C20	1	z	i	3	3	i	zi3	緻		精～，趣～		
D0138	B01C15	1	z	i	3	3	i	zi3	誌		記也		
D0139	B01C13	1	z	i	3	3	i	zi3	置		安放也，又買也		
D0140	B01C11	1	z	i	3	3	i	zi3	痣		癦～		
D0141	B01D03	1	z	i	6	6	i	zi6	字		文～		
D0142	B01D04	1	z	i	6	6	i	zi6	自		～己，由也		
D0143	B01D01	1	z	i	6	6	i	zi6	巳		～時		
D0144	B01D10	1	z	i	6	6	i	zi6	治		理也，平～		
D0145	B01D02	1	z	i	6	6	i	zi6	寺		～觀，僧舍		
D0146	B01D07	1	z	i	6	6	i	zi6	祀		祭～		
D0147	B01D18	1	z	i	6	6	i	zi6	痔		～瘡		
D0148	B01D21	1	z	i	6	6	i	zi6	稚		幼之稱		
D0149	B01D25	1	z	i	6	6	i	zi6	飼		～養		
D0150	B01D23	1	z	i	6	6	i	zi6	嗣		子息也		
D0151	B01D06	1	z	i	6	6	i	zi6	伺		～候		
D0152	B01D32	1	z	i	6	6	i	zi6	穉		幼～		
D0153	B01E11	1	c	i	1	1	i	ci1	痴		～呆，～情		
D0154	B01E23	1	c	i	1	1	i	ci1	癡		～呆，～情	Y	
D0155	B01E14	1	c	i	1	1	i	ci1	雌		～雄，母也		
D0156	B01F02	1	c	i	2	2	i	ci2	此		彼～		
D0157	B01F09	1	c	i	2	2	i	ci2	始		～終，～初		
D0158	B01F14	1	c	i	2	2	i	ci2	耻		羞～，慚也		
D0159	B01F01	1	c	i	2	2	i	ci2	矢		箭也		
D0160	B01F08	1	c	i	2	2	i	ci2	侈		奢～		
D0161	B01F06	1	c	i	2	2	i	ci2	豕		豬也		
D0162	B01F19	1	c	i	2	2	i	ci2	齒		牙～		
D0163	B01G01	1	c	i	3	3	i	ci3	次		～序，每～		
D0164	B01G04	1	c	i	3	3	i	ci3	刺		～刀		
D0165	B01G18	1	c	i	3	3	i	ci3	幟		旗～		
D0201	B01G13	2	c	i	3	3	i	ci3	厠	廁	～所		
D0202	B01G17	2	c	i	3	3	i	ci3	賜		贈也		
D0203	B01G19	2	c	i	3	3	i	ci3	熾		火盛		
D0204	B01G06	2	c	i	3	3	i	ci3	恣		放～，任意也		
D0205	B01G08	2	c	i	3	3	i	ci3	翅		翼也		
D0206	B01H29	2	c	i	4	4	i	ci4	遲		慢也		
D0207	B01H10	2	c	i	4	4	i	ci4	瓷		～器		
D0208	B01H01	2	c	i	4	4	i	ci4	池		～塘		
D0209	B01H25	2	c	i	4	4	i	ci4	慈		～悲，仁～，愛也		
D0210	B01H06	2	c	i	4	4	i	ci4	祠		～堂		
D0211	B01H11	2	c	i	4	4	i	ci4	茨		～菇		
D0212	B01H19	2	c	i	4	4	i	ci4	馳		奔～，～驅		
D0213	B01H31	2	c	i	4	4	i	ci4	磁		～石		
D0214	B01H36	2	c	i	4	4	i	ci4	辭		言～，推～		
D0215	B01H35	2	c	i	4	4	i	ci4	臍		肚～		
D0216		2	c	i	4	4	i	ci4	糍		油～		
D0217	B01H15	2	c	i	4	4	i	ci4	詞		文～，言～		
D0218	B01H09	2	c	i	4	4	i	ci4	持		扶～，手執也		
D0219	B01I02	2	c	i	5	5	i	ci5	似		相～		
D0220	B01I10	2	c	i	5	5	i	ci5	恃		倚賴		
D0221	B01I11	2	c	i	5	5	i	ci5	柿		果名，生～，～餅		
D0222	B01J01	2	n	i	1	1	i	ni1	呢		助語詞，～個		
D0223	B02A08	2	s	i	1	1	i	si1	思		～慮，～念		
D0224	B02A13	2	s	i	1	1	i	si1	師		～長，～旅		
D0225	B02A04	2	s	i	1	1	i	si1	司		主也，守也		
D0226	B02A09	2	s	i	1	1	i	si1	屍		～骸		
D0227	B02A06	2	s	i	1	1	i	si1	私		不公也		
D0228	B02A19	2	s	i	1	1	i	si1	絲		蠶～，十忽為～		
D0229	B02A07	2	s	i	1	1	i	si1	施		設～		
D0230	B02A03	2	s	i	1	1	i	si1	尸		仝屍		
D0231	B02A22	2	s	i	1	1	i	si1	獅		～子，獸名		
D0232	B02A24	2	s	i	1	1	i	si1	詩		～書，吟～		
D0233	B02A20	2	s	i	1	1	i	si1	斯		此也		
D0234	B02A37	2	s	i	1	1	i	si1	撕		～毀		
D0235	B02A36	2	s	i	1	1	i	si1	嘶		～聲		
D0236	B02B01	2	s	i	2	2	i	si2	史		經～，歷～，～記		
D0237	B02B04	2	s	i	2	2	i	si2	使		令也，役也		
D0238	B02B03	2	s	i	2	2	i	si2	死		殁也，終也		
D0239	B02B05	2	s	i	2	2	i	si2	屎		疴～		
D0240	B02C10	2	s	i	3	3	i	si3	試		考～，～騐		
D0241	B02C03	2	s	i	3	3	i	si3	使		介也，使臣		
D0242	B02C11	2	s	i	3	3	i	si3	嗜		～好		
D0243	B02C02	2	s	i	3	3	i	si3	泗		～水，地名		
D0244	B02C09	2	s	i	3	3	i	si3	弒	弑	～殺，以下殺上也		
D0245	B02C12	2	s	i	3	3	i	si3	肆		放任也，又店也		
D0246	B02D03	2	s	i	4	4	i	si4	時		～辰，～刻		
D0247	B02D04	2	s	i	4	4	i	si4	匙		鎖～		
D0248	B02E01	2	s	i	5	5	i	si5	市		～鎮，又買物也		
D0249	B02F08	2	s	i	6	6	i	si6	是		係也，合也		
D0250	B02F06	2	s	i	6	6	i	si6	事		～務		
D0251	B02F02	2	s	i	6	6	i	si6	氏		姓～		
D0252	B02F01	2	s	i	6	6	i	si6	士		學者		
D0253	B02F04	2	s	i	6	6	i	si6	仕		官也		
D0254	B02F03	2	s	i	6	6	i	si6	示		告也，教也		
D0255	B02F15	2	s	i	6	6	i	si6	視		見也		
D0256	B02F14	2	s	i	6	6	i	si6	豉		豆杬		
D0257	B02F07	2	s	i	6	6	i	si6	侍		～奉，從也		
D0258	B02G01	2	j	i	1	1	i	ji1	衣		～服		
D0259	B02G06	2	j	i	1	1	i	ji1	依		～從，據也		
D0260	B02G16	2	j	i	1	1	i	ji1	醫		～治，～院		
D0261	B02G14	2	j	i	1	1	i	ji1	噫		嘆息助詞		
D0301	B02G02	3	j	i	1	1	i	ji1	伊		佢也		
D0302	B02H04	3	j	i	2	2	i	ji2	倚		～賴，～恃		
D0303	B02H11	3	j	i	2	2	i	ji2	椅		枱～		
D0304	B02H14	3	j	i	2	2	i	ji2	綺		～羅		
D0305	B02H01	3	j	i	2	2	i	ji2	几		～席		
