頁	聲	韻	調	格內次序	粵拼聲母	粵拼韻母	聲調	字	註	分類
1	b	a	上平	1	b	aa	1	巴		
1	b	a	上平	2	b	aa	1	芭		
1	b	a	上平	3	b	aa	1	豝		
1	b	a	上平	4	b	aa	1	羓		
1	b	a	上平	5	b	aa	1	疤		
1	b	a	上平	6	b	aa	1	笆		
1	b	a	上平	7	b	aa	1	葩		
1	b	a	上平	8	b	aa	1	爸		
1	b	a	上平	9	b	aa	1	吧		
1	b	a	上平	10	b	aa	1	叭		
1	p	a	上平	1	p	aa	1	跁	～倒	
1	p	a	上平	2	p	aa	1	趴	同上(跁)	
1	m	a	上平	1	m	aa	1	麼	助詞	
1	m	a	上平	2	m	aa	1	嬤		
1	m	a	上平	3	m	aa	1	媽		
1	m	a	上平	4	m	aa	1	螞	～螂	
1	m	a	上平	5	m	aa	1	嗎		
1	f	a	上平	1	f	aa	1	花		
1	f	a	上平	2	f	aa	1	華		
1	f	a	上平	3	f	aa	1	蘤		
1	f	a	上平	4	f	aa	1	錵		
1	d	a	上平	1	d	aa	1	打	十二個	
1	t	a	上平	1	t	aa	1	他		
1	t	a	上平	2	t	aa	1	怹		
1	t	a	上平	3	t	aa	1	她		
1	t	a	上平	4	t	aa	1	牠		
1	t	a	上平	5	t	aa	1	它		
1	t	a	上平	6	t	aa	1	趿		
1	l	a	上平	1	l	aa	1	拉		
1	l	a	上平	2	l	aa	1	摺	同上(拉)	
1	l	a	上平	3	l	aa	1	嘞		
1	g	a	上平	1	g	aa	1	加		
1	g	a	上平	2	g	aa	1	咖		
1	g	a	上平	3	g	aa	1	珈		
1	g	a	上平	4	g	aa	1	枷		
1	g	a	上平	5	g	aa	1	迦		
1	g	a	上平	6	g	aa	1	笳		
1	g	a	上平	7	g	aa	1	跏		
1	g	a	上平	8	g	aa	1	耞		
1	g	a	上平	9	g	aa	1	痂		
1	g	a	上平	10	g	aa	1	鴐		
1	g	a	上平	11	g	aa	1	袈		
1	g	a	上平	12	g	aa	1	嘉		
1	g	a	上平	13	g	aa	1	伽		
1	g	a	上平	14	g	aa	1	鉫		
1	g	a	上平	15	g	aa	1	茄	荷莖	
1	g	a	上平	16	g	aa	1	家		
1	g	a	上平	17	g	aa	1	傢		
1	g	a	上平	18	g	aa	1	錠		
1	g	a	上平	19	g	aa	1	噶		
1	g	a	上平	20	g	aa	1	嘎	笑聲	
1	g	a	上平	21	g	aa	1	葭		
1	g	a	上平	22	g	aa	1	豭		
1	gw	a	上平	1	gw	aa	1	瓜		
1		a	上上	1		aa	2	啞		
1		a	上上	2		aa	2	瘂		
1		a	上上	3		aa	2	阿	感嘆詞	
1		a	上上	4		aa	2	嗄	感嘆詞	
1	b	a	上上	1	b	aa	2	把		
1	b	a	上上	2	b	aa	2	靶		
1	b	a	上上	3	b	aa	2	鈀		
1	d	a	上上	1	d	aa	2	打		
1	l	a	上上	1	l	aa	2	拉		
1	l	a	上上	2	l	aa	2	啦		
1	l	a	上上	3	l	aa	2	喇		
1	l	a	上上	4	l	aa	2	揦		
1	g	a	上上	1	g	aa	2	假		
1	g	a	上上	2	g	aa	2	叚		
1	g	a	上上	3	g	aa	2	椵		
1	g	a	上上	4	g	aa	2	嘏		
1	g	a	上上	5	g	aa	2	賈		
1	g	a	上上	6	g	aa	2	夏		
1	g	a	上上	7	g	aa	2	檟		
1	g	a	上上	8	g	aa	2	榎		
1	g	a	上上	9	g	aa	2	斝		
1	g	a	上上	10	g	aa	2	瘕	又讀	also
1	g	a	上上	11	g	aa	2	玍		
1	gw	a	上上	1	gw	aa	2	寡		
1	gw	a	上上	2	gw	aa	2	剮		
1	gw	a	上上	3	gw	aa	2	𠮠		
1		a	上去	1		aa	3	亞		
1		a	上去	2		aa	3	婭		
1		a	上去	3		aa	3	稏	搖動也	
1		a	上去	4		aa	3	氬		
1		a	上去	5		aa	3	掗	～賣	
1		a	上去	6		aa	3	阿		
1		a	上去	7		aa	3	錒		
1		a	上去	8		aa	3	谺		
1		a	上去	9		aa	3	襾		
1	b	a	上去	1	b	aa	3	霸		
1	b	a	上去	2	b	aa	3	伯		
1	b	a	上去	3	b	aa	3	壩		
1	b	a	上去	4	b	aa	3	埧		
1	b	a	上去	5	b	aa	3	灞		
1	b	a	上去	6	b	aa	3	霸		
1	b	a	上去	7	b	aa	3	欛	刀柄	
1	b	a	上去	8	b	aa	3	䆉		
1	b	a	上去	9	b	aa	3	弝		
1	p	a	上去	1	p	aa	3	怕		
1	p	a	上去	2	p	aa	3	帕	又讀	also
1	f	a	上去	1	f	aa	3	化		
1	f	a	上去	2	f	aa	3	匕		
1	l	a	上去	1	l	aa	3	罅		
1	l	a	上去	2	l	aa	3	𨻲		
1	g	a	上去	1	g	aa	3	嫁		
1	g	a	上去	2	g	aa	3	稼		
1	g	a	上去	3	g	aa	3	價		
1	g	a	上去	4	g	aa	3	賈		
1	g	a	上去	5	g	aa	3	架		
1	g	a	上去	6	g	aa	3	駕		
1	g	a	上去	7	g	aa	3	假		
1	gw	a	上去	1	gw	aa	3	卦		
1	gw	a	上去	2	gw	aa	3	挂		
1	gw	a	上去	3	gw	aa	3	掛		
1	gw	a	上去	4	gw	aa	3	罣		
1	gw	a	上去	5	gw	aa	3	罫		
1	gw	a	上去	6	gw	aa	3	詿		
1	gw	a	上去	7	gw	aa	3	/		
1	gw	a	上去	8	gw	aa	3	褂		
1	gw	a	上去	9	gw	aa	3	絓		
1	b	a	下去	1	b	aa	6	罷		
1	b	a	下去	2	b	aa	6	吧		
1	m	a	下去	1	m	aa	6	罵		
1	m	a	下去	2	m	aa	6	禡		
1	m	a	下去	3	m	aa	6	螞	～蚱	
1	n	a	下去	1	n	aa	6	那	指遠	
1	m	a	下上	1	m	aa	5	馬		
1	m	a	下上	2	m	aa	5	嗎	～啡	
1	m	a	下上	3	m	aa	5	鎷		
1	m	a	下上	4	m	aa	5	瑪		
1	m	a	下上	5	m	aa	5	碼		
1	m	a	下上	6	m	aa	5	螞		
1	n	a	下上	1	n	aa	5	那	疑問指示詞	
1	p	a	下平	1	p	aa	4	杷		
1	p	a	下平	2	p	aa	4	爬		
1	p	a	下平	3	p	aa	4	耙		
1	p	a	下平	4	p	aa	4	鈀		
1	p	a	下平	5	p	aa	4	筢		
1	p	a	下平	6	p	aa	4	琶		
1	p	a	下平	7	p	aa	4	扒	～手	
1	m	a	下平	1	m	aa	4	麻		
1	m	a	下平	2	m	aa	4	蔴		
1	m	a	下平	3	m	aa	4	嘛		
1	m	a	下平	4	m	aa	4	痳		
1	m	a	下平	5	m	aa	4	蟆		
1	n	a	下平	1	n	aa	4	拏		
1	n	a	下平	2	n	aa	4	拿		
1	n	a	下平	3	n	aa	4	哪		
2	k	a	上平	1	k	aa	1	卡		
2	kw	a	上平	1	kw	aa	1	夸		
2	kw	a	上平	2	kw	aa	1	姱		
2	kw	a	上平	3	kw	aa	1	誇		
2	h	a	上平	1	h	aa	1	鰕		
2	h	a	上平	2	h	aa	1	蝦		
2	h	a	上平	3	h	aa	1	瘕		
2	h	a	上平	4	h	aa	1	哈		
