頁	列	字碼	字
1	1	1000	一
			旦
			但
			坦
			担
			妲
			怛
			胆
			袒
			靼
			䵣
			疸
			笪
	2		閂
		1100	二
			仁
			竺
		1110	三
			閆
		1111	脊
			塉
			瘠
			蹐
2	1		鶺
		1112	丰
			蚌
		11122	艳
		11124	㓞
			馬
		11131	寿
		11134	邦
			帮
	2		幚
			梆
		1113	綁
			奉
			俸
			唪
			捧
			棒
			琫
			蜯
			菶
			奏
3	1		凑
			湊
			腠
			輳
			揍
			春
			椿
			踳
			蠢
			惷
			泰
			舂
			樁
	2		憃
			秦
			獉
			溱
			榛
			螓
			臻
			蓁
		1114	弍
			貳
			膩
		1120	亍
4	1		行
			荇
			珩
			桁
			衍
			愆
			干
	2		刊
			邗
			扞
			犴
			忓
			汗
			奸
			肝
5	1		杆
			玕
			旰
			盰
			秆
			訐
			赶
			豻
			軒
			釬
			骭
			鼾
			頇
			䍐
			岸
	2		竿
			閈
			衎
			旱
			捍
			悍
			猂
			桿
			睅
			稈
			趕
			銲
			筸
			于
			汙
6	1		吁
			冔
			圩
			盱
			紆
			訏
			盂
			迂
			宇
			芋
			竽
		1121	王
	2		汪
			枉
			旺
			囯
			匡
			劻
			恇
			框
			眶
			誆
			筐
			狂
			誑
			逛
			閏
7	1		潤
			瞤
			玨
			琹
			琴
			瑟
			琵
		11211	彗
			嘒
			槥
			轊
			慧
			熭
	2		篲
			弄
			筭
			哢
		11212	武
			珷
			斌
			贇
			碔
			賦
			娬
			鵡
			青
8	1		凊
			倩
			蒨
			清
			猜
			情
			晴
			睛
			靖
			蜻
	2		精
			請
			鯖
			箐
			菁
			靚
			靝
			靛
			靜
			鶄
			圊
9	1		責
			簀
			勣
			債
			嘖
			漬
			樍
			積
			磧
			績
			賾
			蹟
			崋
			華
	2		嘩
			曄
			樺
			燁
			譁
			鞾
			驊
			韡
			害
			憲
		11213	表
			俵
			婊
10	1		裱
			錶
			敖
			麦
		11214	素
			愫
			嗉
			膆
			契
			絜
			毒
			瑇
			碡
	2		纛
			式
			拭
			試
			弒
			軾
			丟
		11215	玉
			鈺
			宝
		1122	井
11	1		穽
			阱
			囲
			耕
			刑
			型
			荊
			硎
			鉶
			邢
			開
	2	11221	𡨄
			寒
			寋
			搴
			褰
			謇
			蹇
			騫
			塞
			㥶
12	1		寨
			賽
			冓
			傋
			溝
			媾
			搆
			構
			講
			購
			鞲
			韝
			斠
			遘
			篝
	2		覯
			舌
			臿
			插
			牐
			鍤
			歃
			礻
			示
			祁
			眎
			宗
13	1		崇
			鬃
			悰
			淙
			棕
			琮
			粽
			綜
			踪
			賨
			騌
			祘
			蒜
			末
	2		茉
			抹
			沫
			帓
			秣
			眜
			袜
			䍪
			䬴
			靺
			未
			妹
			味
			沬
14	1		昧
			眛
			魅
			寐
			𠩺
			剺
			犛
			嫠
			漦
			氂
			釐
			斄
		1124	𠙹
	2	1125	㝵
			得
			碍
			尉
			慰
			熨
			蔚
			禁
			噤
15	1		襟
			㩒
		1131	幵
			邢郉
			形
			汧
			岍
			妍
			枅
			研
			揅
			趼
			鈃
	2		笄
			栞
		1132	戒
			𢬿
			械
			誡
			駴
			奭
			襫
		1134	无
			元
16	1		黿
			頑
			沅
			阮
			玩
			翫
			芫
			完
			浣
			院
			皖
			脘
	2		睆
			鯇
			莞
			筦
		11342	寇
			蔻
		11343	戎
			狨
			毧
			羢
			絨
17	1		賊
		11345	㫄
		1135	天
			昊
			祆
			夫
	2		芙
			伕
			扶
			玞
			砆
			衭
			蚨
			趺
			鈇
			麩
		11351	㚘
			替
			僣
18	1		潜
			譛
			輦
			攆
			賛
		11352	吞
			蚕
			忝
			添
			舔
			掭
			菾
			𢶍
			規
	2		槼
			窺
			闚
		1140	亏
			圬
			污
			杇
			釫
			雩
			摴
			樗
			鄠
		1142	○
19	1	1143	佞
		1145	云
			抎
			坛
			枟
			秐
			耘
			紜
			芸
			魂
			雲
	2		蕓
			曇
			壜
			罎
			弌
		1200	十
			什
			汁
			叶
			竍
			籵
			計
			針
			早
20	1		草
			騲
			丁
			仃
			打
			汀
			叮
			灯
			疔
			町
	2		酊
			訂
			釘
			飣
			頂
			宁
			佇
			竚
			羜
			紵
			貯
			苧
		1210	工
21	1		扛
			江
			杠
			肛
			矼
			疘
			舡
			缸
			紅
			虹
			豇
			訌
	2		釭
			魟
			功
			攻
			鴻
			卭
			邛
			筇
			項
			澒
22	1		空
			倥
			控
			悾
			腔
			崆
			鞚
			箜
			土
			吐
			杜
	2		肚
			灶
			牡
			社
			塵
			庄
			粧
			賍
			埜
			圼
			涅
			捏
23	1		㘿
			陧
			士
			仕
			茌
			壯
			莊
			糚
			娤
			奘
			裝
	2	12111	耳
			咡
			洱
			弭
			麛
			珥
			鉺
			餌
			聞
24	1		茸
			刵
			耶
			揶
			椰
			聶
			攝
			囁
			懾
			躡
			鑷
			顳
			讘
	2		長
			倀
			張
			漲
			悵
			帳
25	1		脹
			棖
			賬
			韔
			萇
			镸
			髟
			肆
			款
			窾
		12112	圭
	2		佳
			挂
			洼
			哇
			娃
			珪
			桂
			溎
			畦
			絓
			蛙
26	1		袿
			跬
			詿
			鞋
			鮭
			恚
			鼃
			罣
			閨
			窪
			街
			刲
			邽
			厓
			捱
			涯
			崖
	2		睚
			卦
			罫
			掛
			褂
			封
			葑
			犎
			幫
			堯
			僥
27	1		墝
			撓
			嘵
			澆
			嬈
			橈
			曉
			燒
			磽
			繞
			蟯
			譊
			蹺
	2		鐃
			饒
			驍
			翹
			蕘
			遶
			寺
			侍
			待
			恃
			持
			峙
28	1		特
			畤
			詩
			時
			蒔
			塒
			鰣
			痔
			等
			栽
	2		載
			儎
		12114	馬
			馮
			凴
			憑
			媽
			嗎
29	1		瑪
			禡
			碼
			螞
			鎷
			馽
			罵
			篤
			闖
			羈
			褭
	2	12121	卉
			枿
			𠦔
			𧶚
			僨
			墳
			憤
			濆
			噴
			羵
			歕
30	1		豶
			蕡
			𦬇
			敢
			走
			陡
			徒
			正
			征
			怔
			証
	2		鉦
			政
			昰
			症
			罡
			焉
			嫣
			鄢
			蔫
		12124	吉
			姞
31	1		拮
			桔
			秸
			結
			袺
			詰
			鮚
			黠
			䕸
			劼
