字	分部	原書讀音	原書聲調	版本標記	含粵語音義版本標記	(1974)頁	(1974)位置	(1974)解釋	(1974)數碼化編註	(1996)編號	(1996)頁	(1996)位置	(1996)解釋	(1996)數碼化編註	讀音
鴉	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	1			00001	1	1			[3]aa1
丫	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	2			00002	1	2			[3]aa1
吖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	3			00003	1	3			[3]aa1
枒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	4			00004	1	4			[3]aa1
雅	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	5			00005	1	5			[3]aa1
椏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	6			00006	1	6			[3]aa1
鵶	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	7			00007	1	7			[3]aa1
孲	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	3	1	8	赤子，《集韻》。蘇～仔，新生孩		00008	1	8			[3]aa1
啞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	1			00009	1	1			[3]aa2
瘂	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	2			00010	1	2			[3]aa2
𤺘	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	3			00011	1	3			[3]aa2
阿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	4			00012	1	4			[3]aa2
亞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	1			00013	1	1			[3]aa3
婭	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	2			00014	1	2			[3]aa3
氬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	3			00015	1	3			[3]aa3
稏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	4			00016	1	4			[3]aa3
呀	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	5			00017	1	5			[3]aa3
谺	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	6			00018	1	6			[3]aa3
襾	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	7			00019	1	7			[3]aa3
阿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	8			00020	1	8			[3]aa3
錒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	9			00021	1	9			[3]aa3
欬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	10			00022	1	10			[3]aa3
