# 資料庫版本: 2020-08-22
序號	字頭	字頭種類	異體字	頁碼	補遺頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼讀音	音序	讀音分類	釋義	另見原文	校訂註
1.1	一			1		j	at	1	7	jat1	S27				
2.1	丁			1		d	ing	1	1	ding1	F71		丁口		
2.2	丁			1		z	aang	1	1	zaang1	P19		伐木丁丁		
3.1	七			1		c	at	1	7	cat1	Q49				
4.1	三			1		s	aam	1	1	saam1	R11		數詞		
4.2	三			1		s	aam	3	3	saam3	R13		三思		
5.1	上			1		s	oeng	6	6	soeng6	R114		在上		
5.2	上			1		s	oeng	5	5	soeng5	R113		上去		
6.1	下			1		h	aa	6	6	haa6	O4		在下		
6.2	下			1		h	aa	5	5	haa5	O3		打一下		
7.1	丌			1		g	ei	1	1	gei1	J46				
8.1	丈			1		z	oeng	6	6	zoeng6	P111				
9.1	万			1		m	ak	6	9	mak6	D43		万俟		
9.2	万			1		m	aan	6	6	maan6	D15			同萬	
10.1	丐			1		k	oi	3	3	koi3	L41				
11.1	不			1		b	at	1	7	bat1	B32		不是		
11.2	不			1		f	au	2	2	fau2	E14		同否		
12.1	与			1		j	yu	5	5	jyu5	A52			同與	
12.2	与			1		j	yu	6	6	jyu6	A53		參与	同與	
12.3	与			1		j	yu	4	4	jyu4	A51			同與	
13.1	丏			1		m	in	5	5	min5	D59				
14.1	丑			1		c	au	2	2	cau2	Q33				
15.1	世			1		s	ai	3	3	sai3	R26				
16.1	且			1		c	e	2	2	ce2	Q53		並且		
16.2	且			1		z	eoi	1	1	zeoi1	P114		語助詞		
16.3	且			1		c	ou	4	4	cou4	Q87		往		
17.1	丙			1		b	ing	2	2	bing2	B54				
18.1	丕			1		p	ei	1	1	pei1	C29				
19.1	丘			1		j	au	1	1	jau1	S7				
20.1	丟			1		d	iu	1	1	diu1	F55				
21.1	𠩄			1		s	o	2	2	so2	R100			同所	
22.1	両			1		l	oeng	2	2	loeng2	I93				
23.1	丞			1		s	ing	4	4	sing4	R91				
23.2	丞			1		c	ing	2	2	cing2	Q79			通拯	
24.1	並			1		b	ing	3	3	bing3	B55				
24.2	並			1		b	ing	6	6	bing6	B56	G			
25.1	丨			1		gw	an	2	2	gwan2	K17				
26.1	个			1		g	o	3	3	go3	J81			同個	
27.1	丫			1			aa	1	1	aa1	A1				
27.2	丫			1		ng	aa	1	1	ngaa1	N1	A			
28.1	丰			1		f	ung	1	1	fung1	E50				
29.1	中			1		z	ung	1	1	zung1	P123		中央		
29.2	中			1		z	ung	3	3	zung3	P125		中肯		
30.1	丱			1		gw	aan	3	3	gwaan3	K8				
31.1	串			1		c	yun	3	3	cyun3	Q128		貫串		
31.2	串			1		gw	aan	3	3	gwaan3	K8		習慣		
32.1	丶			2		z	yu	2	2	zyu2	P131				
33.1	丸			2		j	yun	4	4	jyun4	A57				
33.2	丸			2		j	yun	2	2	jyun2	A55	V			
34.1	丹			2		d	aan	1	1	daan1	F11				
