頁	字碼	漢字	廣州話	備註	數碼化附註
15	0001	一	[jat7]		
15	0002	丁	[ding1]	(古)[zang1]伐木丁丁	
15	0003	七	[cat7]		
15	0004	三	[saam1]	三思又讀[saam3]	
15	0005	下	"1)[haa6]:山下
2)[haa5]:打十下"		
15	0006	上	"1)[soeng6]:上面
2)[soeng5]:上山"		
15	0007	丈	[zoeng6]		
15	0008	丑	[cau2]		
15	0009	丐	[koi3]		
15	0010	不	[bat7]		
15	0011	丕	[pei1]		
15	0012	丙	[bing2]		
15	0013	世	[sai3]		
15	0014	且	[ce2]	(古)[zeoi1]	
15	0015	丘	[jau1]		
15	0016	丞	[sing4]		
15	0017	丟	[diu1]		
15	0018	並	[bing6]	(又)[bing3]	
16	0019	丫	[aa1]		
16	0020	中	"1)[zung1]:中央
2)[zung3]:中毒"		
16	0021	串	[cyun3]		
16	0022	丸	[jyun4]	(語)[jyun2]	
16	0023	凡	[faan4]		
16	0024	丹	[daan1]		
16	0025	主	[zyu2]		
16	0026	乃	[naai5]		
16	0027	久	[gau2]		
16	0028	之	[zi1]		
16	0029	尹	[wan5]		
16	0030	乍	[zaa3]		
16	0031	乏	[fat9]		
16	0032	乎	[fu4]		
16	0033	乒	[ping1]		
16	0034	乓	[pong1]	(又)[bam1]	
16	0035	乖	[gwaai1]		
16	0036	乘	"1)[sing4]:乘車
2)[sing6]:千乘之國"		
17	0037	乙	[jyut9]	(又)[jyut8]	
17	0038	九	[gau2]		
17	0039	也	[jaa5]		
17	0040	乞	[hat7]		
17	0041	乩	[gei1]		
17	0042	乳	[jyu5]		
17	0043	乾	"1)[gon1]:乾燥
2)[kin4]:乾坤"		
17	0044	亂	[lyun6]		
17	0045	了	[liu5]		
17	0046	予	"1)[jyu4]:予取予求
2)[jyu5]:授予"		
17	0047	事	[si6]		
17	0048	二	[ji6]		
17	0049	于	[jyu1]	(古)[jyu4]之子于歸	
17	0050	云	[wan4]		
17	0051	井	[zeng2]	井井有條，井然又讀[zing2]	
17	0052	互	[wu6]		
17	0053	五	[ng5]		
17	0054	亙	[gang2]		
17	0055	些	[se1]		
18	0056	亞	[aa3]		
