部首	頁碼	編號	字	替代字
丶	1	0001	义	
		0002	丫	
		0003	丸	
		0004	之	
		0005	为	
		0006	头	
		0007	主	
		0008	半	
		0009	州	
	2	0010	农	
		0011	卷	
		0012	举	
		0013	亲	
		0014	叛	
一	2	0015	一	
		0016	七	
		0017	丁	
	3	0018	三	
		0019	干	
		0020	于	
		0021	下	
		0022	上	
	4	0023	丈	
		0024	兀	
		0025	万	
		0026	与	
		0027	才	
		0028	丰	
		0029	天	
		0030	夫	
		0031	开	
	5	0032	井	
		0033	无	
		0034	专	
		0035	丐	
		0036	廿	
		0037	𣎴	
		0038	五	
		0039	丐	
		0040	不	
		0041	卅	
		0042	冇	
		0043	丑	
		0044	屯	
	6	0045	互	
		0046	牙	
		0047	平	
		0048	击	
		0049	丕	
		0050	甘	
		0051	世	
		0052	卌	
		0053	且	
		0054	丙	
		0055	册	
		0056	东	
	7	0057	夹	
		0058	亚	
		0059	亘	
		0060	再	
		0061	吏	
		0062	而	
		0063	尧	
		0064	丞	
		0065	来	
		0066	严	
		0067	丽	
	8	0068	更	
		0069	两	
		0070	事	
		0071	枣	
		0072	疌	
		0073	奏	
		0074	韭	
		0075	巷	
		0076	柬	
		0077	面	
	9	0078	姽	
		0079	艳	
		0080	鬲	
		0081	孬	
		0082	奡	
		0083	𠒺	*
		0084	赖	
		0085	鼒	
		0086	噩	
		0087	臻	
		0088	鬴	
		0089	靧	
		0090	橐	
	10	0091	夒	
		0092	舋	
		0093	囊	
丨	10	0094	中	
		0095	北	
		0096	电	
		0097	冉	
		0098	㠯	
		0099	师	
		0100	曲	
	11	0101	串	
		0102	非	
		0103	畅	
		0104	临	
		0105	禺	
丿	11	0106	乂	
		0107	九	
		0108	乃	
		0109	匕	
		0110	千	
	12	0111	乇	
		0112	川	
		0113	么	
		0114	久	
		0115	及	
		0116	爻	
		0117	乏	
		0118	午	
		0119	壬	
		0120	夭	
		0121	升	
		0122	长	
	13	0123	反	
		0124	丹	
		0125	氏	
		0126	乌	
		0127	乎	
		0128	生	
		0129	玍	
		0130	失	
	14	0131	乍	
		0132	丘	
		0133	卮	
		0134	氐	
		0135	丱	
		0136	乐	
		0137	兆	
		0138	年	
		0139	丢	
		0140	乔	
		0141	乓	
		0142	乒	
		0143	向	
	15	0144	囱	
		0145	卵	
		0146	垂	
		0147	乖	
		0148	重	
		0149	禹	
		0150	甡	
		0151	乘	
		0152	馗	
		0153	甥	
		0154	粤	
	16	0155	舞	
		0156	睾	
		0157	鼐	
		0158	靠	
		0159	㬟	
		0160	鼗	
		0161	爨	
乙	16	0162	乙	
		0163	刁	
		0164	了	
		0165	乜	
	17	0166	习	
		0167	也	
		0168	飞	
		0169	乞	
		0170	孓	
		0171	孑	
		0172	以	
		0173	予	
		0174	夬	
	18	0175	孔	
		0176	书	
		0177	民	
		0178	买	
		0179	厾	
		0180	乩	
		0181	乳	
		0182	承	
		0183	癸	
		0184	胤	
